season_end_year,player,min_playing,gls_per,ast_per,x_g_per,x_ag_per
2005,Steven Reid,1959,0.09,0.18,NA,NA
2005,Robbie Savage,724,0,NA,NA,NA
2005,Craig Short,1053,0.09,0,NA,NA
2005,Jon Stead,1786,0.1,0.05,NA,NA
2005,David Thompson,1172,0,0.23,NA,NA
2005,Andy Todd,2295,0.04,0,NA,NA
2005,Dwight Yorke,190,0,NA,NA,NA
2005,Fatih Akyel,45,0,NA,NA,NA
2005,Tommy Bechmann,1580,0.23,0.17,NA,NA
2005,Michał Bemben,213,0,0,NA,NA
2005,Philipp Bönig,2251,0,0,NA,NA
2005,Søren Colding,2511,0,0,NA,NA
2005,Mamadou Diabang,385,0.7,0,NA,NA
2005,Rein van Duijnhoven,2032,0,0,NA,NA
2005,Edu,1111,0.24,0.08,NA,NA
2005,Dennis Grote,80,0,NA,NA,NA
2005,Þórður Guðjónsson,53,0,0,NA,NA
2005,Raymond Kalla,1976,0.18,0,NA,NA
2005,Aleksander Knavs,2207,0.04,0.12,NA,NA
2005,Vratislav Lokvenc,2788,0.32,0.19,NA,NA
2005,Peter Madsen,1578,0.29,0.11,NA,NA
2005,Marcel Maltritz,2219,0.08,0,NA,NA
2005,Gaetano Manno,29,0,0,NA,NA
2005,Marvin Matip,45,0,0,NA,NA
2005,Martin Meichelbeck,1587,0.06,0,NA,NA
2005,Zvjezdan Misimović,1703,0.16,0.32,NA,NA
2005,Christoph Preuß,2031,0.09,0.09,NA,NA
2005,Peter Skov-Jensen,180,0,0,NA,NA
2005,Filip Tapalović,632,0.14,0,NA,NA
2005,Alexander Thamm,1,0,NA,NA,NA
2005,Filip Trojan,1246,0,0.14,NA,NA
2005,Christian Vander,848,0,0,NA,NA
2005,Dariusz Wosz,2084,0.09,0.17,NA,NA
2005,Tomasz Zdebel,2229,0.04,0.08,NA,NA
2005,Christian Amoroso,1591,0.11,0,NA,NA
2005,Claudio Bellucci,2745,0.33,0.16,NA,NA
2005,Jonatan Binotto,350,0,0.26,NA,NA
2005,Ciro Capuano,1078,0,0.17,NA,NA
2005,Giacomo Cipriani,1289,0.21,0.07,NA,NA
2005,Leonardo Colucci,2034,0,0.09,NA,NA
2005,Daniele Daino,751,0,0,NA,NA
2005,Luigi Della Rocca,131,0.69,0,NA,NA
2005,Marco Ferrante,214,0,0,NA,NA
2005,Gennaro Fragiello,14,0,NA,NA,NA
2005,Alessandro Gamberini,2283,0,0,NA,NA
2005,Federico Giunti,1605,0.11,0.06,NA,NA
2005,Juárez,2366,0,0,NA,NA
2005,Nicola Legrottaglie,759,0,0,NA,NA
2005,Tomas Locatelli,2343,0.12,0.15,NA,NA
2005,Massimo Loviso,915,0.1,0,NA,NA
2005,Mourad Meghni,872,0.31,0,NA,NA
2005,Valentin Năstase,1182,0,0.08,NA,NA
2005,Carlo Nervo,1440,0,0.06,NA,NA
2005,Gianluca Pagliuca,3420,0,0,NA,NA
2005,Fabio Petruzzi,1448,0.12,0,NA,NA
2005,Andrea Sussi,2343,0.04,0.04,NA,NA
2005,Igli Tare,1813,0.25,0.05,NA,NA
2005,Luca Tedeschi,1,0,NA,NA,NA
2005,Stefano Torrisi,2057,0,0,NA,NA
2005,Theodoros Zagorakis,2702,0,0.1,NA,NA
2005,Anthony Barness,429,0,0,NA,NA
2005,Tal Ben Haim,1751,0.05,0,NA,NA
2005,Iván Campo,1717,0,0,NA,NA
2005,Vincent Candela,780,0,0,NA,NA
2005,Júlio César,361,0,0,NA,NA
2005,Kevin Davies,2838,0.25,0.06,NA,NA
2005,Khalilou Fadiga,120,0,0,NA,NA
2005,Les Ferdinand,258,0.35,0.35,NA,NA
2005,Ricardo Gardner,2677,0,0.03,NA,NA
2005,Stelios Giannakopoulos,2368,0.27,0.15,NA,NA
2005,El Hadji Diouf,2052,0.39,0.18,NA,NA
2005,Fernando Hierro,1424,0.06,0.06,NA,NA
2005,Nicky Hunt,2412,0,0.11,NA,NA
2005,Jussi Jääskeläinen,3236,0,0,NA,NA
2005,Radhi Jaïdi,1837,0.24,0.05,NA,NA
2005,Blessing Kaku,25,0,0,NA,NA
2005,Bruno N'Gotty,3257,0,0.06,NA,NA
2005,Kevin Nolan,2495,0.14,0.07,NA,NA
2005,Joey O'Brien,9,0,NA,NA,NA
2005,Andy Oakes,90,0,0,NA,NA
2005,Jay-Jay Okocha,2423,0.22,0.07,NA,NA
2005,Henrik Pedersen,1353,0.4,0.07,NA,NA
2005,Kevin Poole,94,0,0,NA,NA
2005,Gary Speed,3340,0.03,0.13,NA,NA
2005,Ricardo Vaz Tê,193,0,0,NA,NA
2005,Kodjo Afanou,718,0,0,NA,NA
2005,Bruno Basto,18,0,0,NA,NA
2005,Hervé Bugnet,47,0,0,NA,NA
2005,Marouane Chamakh,2355,0.38,0.11,NA,NA
